internal ID, coursename, coursenumber, coursedepartment(s), fall, winter, spring, units, prerequisites, writing intensive, instructors
1, Art 70, 70, Art, False, False, True, 9 , , False, Wolfgram
2, BEM 97, 97, BEM, False, False, False, 0, , True,
3, BEM 101, 101, BEM, False, False, False, 0, , True,
4, BEM 102, 102, BEM, False, False, True, 9 , , True, Ewens
5, BEM 103, 103, BEM, False, True, False, 9 , Ec 11|, True, Jin
6, BEM 104, 104, BEM, False, False, True, 9 , BEM 103|Ec 11|, True, Roll
7, BEM 105, 105, BEM, True, False, False, 9 , BEM 103|Ec 122|, True, Cvitanic
8, BEM 107, 107, BEM, False, False, True, 9 , BEM 103|, True, Cornell
9, BEM 110, 110, BEM, False, True, False, 9 , BEM 102|, True, Ewens
10, BEM 111, 111, BEM, False, True, False, 9 , BEM 105|, True, Winston
11, BEM 117, 117, BEM, False, False, True, 9 , BEM 103|, True, Jin
12, Ec 11, 11, Ec, False, True, False, 9 , , False,
13, Ec 97, 97, Ec, False, False, False, 0, , True,
14, Ec 98 abc, 98, Ec, False, False, False, of , , True,
15, Ec 101, 101, Ec, False, False, False, 0, , True,
16, Ec 105, 105, Ec, True, False, False, 9 , Ec 11|, True, Shum
17, Ec/Psy 109, 109, Ec/Psy, True, False, False, 9 , Ec 11|, True, Camerer
18, Ec/ACM/CS 112, 112, Ec/ACM/CS, False, True, False, 9 , , True, Rangel
19, Ec 117, 117, Ec, False, True, False, 9 , Ec 11|, True, Pomatto
20, Ec 121 ab, 121, Ec, False, True, False, 9 , Ec 11|, True,
21, Ec 122, 122, Ec, True, False, False, 9 , , True, Sherman
22, Ec/SS 124, 124, Ec/SS, False, True, False, 9 , Ec 122|, True, Sherman
23, Ec 135, 135, Ec, False, False, True, 9 , Ec 11|, True, Agranov
24, Ec 136, 136, Ec, False, True, False, 9 , , True,
25, Ec 140, 140, Ec, False, False, True, 9 , Ec 11|Ec 122|, True, 
26, Ec/PS 160 abc, 160, Ec/PS, False, False, True, 9 , , True, Plott
27, Ec 181 ab, 181, Ec, False, True, False, 9 , , True, Border
28, En/Wr 84, 84, En/Wr, False, False, True, 9 , , False, Hall,
29, En 85, 85, En, False, False, True, 9 , , False,
30, En 86, 86, En, False, True, False, 9 , En 85|, False, Gerber
31, En 89, 89, En, False, False, True, 9 , En 85|, False, Kipling
32, En 98, 98, En, False, False, False, 9 , , True,
33, En 99 ab, 99, En, False, False, False, 9 , , True,
34, En 102, 102, En, True, False, False, 9 , , True, Klement
35, En 107, 107, En, False, True, False, 9 , , True, Jahner
36, En 110, 110, En, False, False, True, 9 , , True, Jahner
37, En 113 ab, 113, En, True, True, False, 9 , , True, Pigman
38, En 118, 118, En, False, False, True, 9 , , True, Haugen
39, En 121, 121, En, False, False, True, 9 , , True, Haugen
40, En 125, 125, En, False, True, False, 9 , , True, Gilmartin
41, En 128, 128, En, True, False, False, 9 , , True, Gilmartin
42, En 129, 129, En, False, False, True, 9 , , True, Klement
43, En 135, 135, En, False, False, True, 9 , , True, Gilmore
44, En 141, 141, En, True, False, False, 9 , , True,
45, En 142, 142, En, False, True, False, 9 , , True,
46, En 150, 150, En, False, True, False, 9 , , True, Holland
47, En/F 161, 161, En/F, True, False, False, 9 , , True, Jurca
48, En 180, 180, En, False, False, False, 9 , , True,
49, En/H 193, 193, En/H, False, True, False, 9 , , True, Wey-Gomez
50, ESL 101 ab, 101, ESL, True, True, False, 3 , , True,
51, H 60, 60, H, False, False, False, 0, , False,
52, H 98, 98, H, False, False, False, 9 , , True,
