internal ID, coursetitle, coursename, coursenumber, coursedepartment(s), fall, winter, spring, units, prerequisites, writing intensive, instructors
1, Traditions of Japanese Art, Art 70, 70, Art, False, False, True, 9 , , False, Wolfgram
2, Undergraduate Research, BEM 97, 97, BEM, False, False, False, 0, , True, 
3, Selected Topics in Business Economics and Management, BEM 101, 101, BEM, False, False, False, 0, , True, 
4, Introduction to Accounting, BEM 102, 102, BEM, False, False, True, 9 , , True, Ewens
5, Introduction to Finance, BEM 103, 103, BEM, False, True, False, 9 , Ec 11|, True, Jin
6, Investments, BEM 104, 104, BEM, False, False, True, 9 , BEM 103|Ec 11|, True, Roll
7, Options, BEM 105, 105, BEM, True, False, False, 9 , BEM 103|Ec 122|, True, Cvitanic
8, Applied Corporate Finance and Investment Banking, BEM 107, 107, BEM, False, False, True, 9 , BEM 103|, True, Cornell
9, Venture Capital, BEM 110, 110, BEM, False, True, False, 9 , BEM 102|, True, Ewens
10, Quantitative Risk Management, BEM 111, 111, BEM, False, True, False, 9 , BEM 105|, True, Winston
11, Behavioral Finance, BEM 117, 117, BEM, False, False, True, 9 , BEM 103|, True, Jin
12, Introduction to Economics, Ec 11, 11, Ec, False, True, False, 9 , , False, 
13, Undergraduate Research, Ec 97, 97, Ec, False, False, False, 0, , True, 
14, Senior Research and Thesis, Ec 98 abc, 98, Ec, False, False, False, of , , True, 
15, Selected Topics in Economics, Ec 101, 101, Ec, False, False, False, 0, , True, 
16, Industrial Organization, Ec 105, 105, Ec, True, False, False, 9 , Ec 11|, True, Shum
17, Frontiers in Behavioral Economics, Ec/Psy 109, 109, Ec/Psy, True, False, False, 9 , Ec 11|, True, Camerer
18, Bayesian Statistics, Ec/ACM/CS 112, 112, Ec/ACM/CS, False, True, False, 9 , , True, Rangel
19, Matching Markets, Ec 117, 117, Ec, False, True, False, 9 , Ec 11|, True, Pomatto
20, Theory of Value, Ec 121 ab, 121, Ec, False, True, False, 9 , Ec 11|, True, 
21, Econometrics, Ec 122, 122, Ec, True, False, False, 9 , , True, Sherman
22, Identification Problems in the Social Sciences, Ec/SS 124, 124, Ec/SS, False, True, False, 9 , Ec 122|, True, Sherman
23, Economics of Uncertainty and Information, Ec 135, 135, Ec, False, False, True, 9 , Ec 11|, True, Agranov
24, Behavioral Decision Theory, Ec 136, 136, Ec, False, True, False, 9 , , True, 
25, Economic Progress, Ec 140, 140, Ec, False, False, True, 9 , Ec 11|Ec 122|, True, 
